,eventName,eventValue,specific_open,specific_close,gateway_change,lost_sight,temp_raise,temp_fall,0
0,HRTB_F,1,1,0,0,0,0,0,1
1,here,1,1,0,0,0,0,0,0
2,HRTB_S,1,1,0,0,0,0,0,1
3,HRTB_F,1,1,0,0,0,0,0,1
4,temp,32,0,0,0,0,1,0,0
5,away,1,0,1,0,1,0,0,0
6,away,1,0,1,0,1,0,0,0
7,HRTB_S,1,1,0,0,0,0,0,1
8,here,1,1,0,0,0,0,0,0
9,away,1,0,1,0,1,0,0,0
10,temp,19,0,0,0,0,0,1,0
11,HRTB_S,1,1,0,0,0,0,0,1
12,away,1,0,1,0,1,0,0,0
13,away,1,0,1,0,1,0,0,0
14,HRTB_F,1,1,0,0,0,0,0,1
15,away,1,0,1,0,1,0,0,0
16,here,1,1,0,0,0,0,0,0
17,here,1,1,0,0,0,0,0,0
18,HRTB_F,1,1,0,0,0,0,0,1
19,away,1,0,1,0,1,0,0,0
20,away,1,0,1,0,1,0,0,0
21,HRTB_S,1,1,0,0,0,0,0,1
22,HRTB_F,1,1,0,0,0,0,0,1
23,gone,1,0,1,0,1,0,0,0
24,away,1,0,1,0,1,0,0,0
25,HRTB_F,1,1,0,0,0,0,0,1
26,HRTB_F,1,1,0,0,0,0,0,1
27,HRTB_S,1,1,0,0,0,0,0,1
28,temp,20,0,0,0,0,1,1,0
29,HRTB_F,1,1,0,0,0,0,0,1
30,away,1,0,1,0,1,0,0,0
31,away,1,0,1,0,1,0,0,0
32,away,1,0,1,0,1,0,0,0
33,here,1,1,0,0,0,0,0,0
34,temp,22,0,0,0,0,1,0,0
35,temp,32,0,0,0,0,1,0,0
36,HRTB_F,1,1,0,0,0,0,0,1
37,HRTB_S,1,1,0,0,0,0,0,1
38,temp,22,0,0,0,0,1,0,0
39,away,1,0,1,0,1,0,0,0
40,HRTB_S,1,1,0,0,0,0,0,1
41,here,1,1,0,0,0,0,0,0
42,here,1,1,0,0,0,0,0,0
43,here,1,1,0,0,0,0,0,0
44,temp,20,0,0,0,0,1,1,0
45,gone,1,0,1,0,1,0,0,0
46,away,1,0,1,0,1,0,0,0
47,temp,31,0,0,0,0,1,0,0
48,HRTB_S,1,1,0,0,0,0,0,1
49,here,1,1,0,0,0,0,0,0
50,gone,1,0,1,0,1,0,0,0
51,gone,1,0,1,0,1,0,0,0
52,away,1,0,1,0,1,0,0,0
53,HRTB_S,1,1,0,0,0,0,0,1
54,HRTB_F,1,1,0,0,0,0,0,1
55,HRTB_F,1,1,0,0,0,0,0,1
56,HRTB_S,1,1,0,0,0,0,0,1
57,away,1,0,1,0,1,0,0,0
58,HRTB_F,1,1,0,0,0,0,0,1
59,HRTB_F,1,1,0,0,0,0,0,1
60,temp,32,0,0,0,0,1,0,0
61,away,1,0,1,0,1,0,0,0
62,HRTB_F,1,1,0,0,0,0,0,1
63,away,1,0,1,0,1,0,0,0
64,HRTB_F,1,1,0,0,0,0,0,1
65,gone,1,0,1,0,1,0,0,0
66,temp,21,0,0,0,0,1,0,0
67,away,1,0,1,0,1,0,0,0
68,away,1,0,1,0,1,0,0,0
69,HRTB_F,1,1,0,0,0,0,0,1
70,gone,1,0,1,0,1,0,0,0
71,HRTB_S,1,1,0,0,0,0,0,1
72,HRTB_F,1,1,0,0,0,0,0,1
73,here,1,1,0,0,0,0,0,0
74,here,1,1,0,0,0,0,0,0
75,gone,1,0,1,0,1,0,0,0
76,here,1,1,0,0,0,0,0,0
77,away,1,0,1,0,1,0,0,0
78,temp,32,0,0,0,0,1,0,0
79,gone,1,0,1,0,1,0,0,0
